# gunzip -c exp_254102311/DNN_tri_ali/decode_254102311/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp_254102311/tri_8_2000/graph_254102311 
# Started at Thu Apr 30 12:36:56 IST 2026
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (25,28.4,54) frames.
At utterance end, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (21,23.8,47) frames.
Overall, nonsilence accounts for 94.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,18) frames.
Overall, sil accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (25,32.6,94) frames.
Overall, ah_I accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,10) frames.
Overall, ih_I accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,11) frames.
Overall, n_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,10) frames.
Overall, d_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,13) frames.
Overall, t_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,16) frames.
Overall, dh_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,9) frames.
Overall, eh_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,15) frames.
Overall, r_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,12) frames.
Overall, z_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.7,20) frames.
Overall, n_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,17) frames.
Overall, iy_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.9,22) frames.
Overall, hh_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,14) frames.
Overall, t_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,14) frames.
Overall, ah_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,12) frames.
Overall, l_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,14) frames.
Overall, w_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,15) frames.
Overall, s_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,13.7,20) frames.
Overall, ae_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,21) frames.
Overall, s_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,17) frames.
Overall, ih_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.5,13) frames.
Overall, ah_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.7,9) frames.
Overall, aa_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,19) frames.
Overall, t_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,17) frames.
Overall, er_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.0,23) frames.
Overall, iy_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,22) frames.
Overall, m_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,16) frames.
Overall, v_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,11) frames.
Overall, s_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.8,25) frames.
Overall, f_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.5,19) frames.
Overall, er_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.6,18) frames.
Overall, b_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,12) frames.
Overall, ae_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.1,20) frames.
Overall, ey_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.1,22) frames.
Overall, k_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,18) frames.
Overall, ao_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.3,21) frames.
Overall, l_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.9,22) frames.
Overall, r_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.1,19) frames.
Overall, ay_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.8,25) frames.
Overall, k_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,15) frames.
Overall, ng_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,21) frames.
Overall, p_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,15) frames.
Overall, p_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.6,18) frames.
Overall, m_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,11) frames.
Overall, d_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,10) frames.
Overall, n_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,15) frames.
Overall, m_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,17) frames.
Overall, l_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.2,18) frames.
Overall, uw_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.6,27) frames.
Overall, d_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,14) frames.
Overall, v_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.7,10) frames.
Overall, ow_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.1,24) frames.
Overall, r_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,17) frames.
Overall, ih_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.3,7) frames.
Overall, f_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.5,15) frames.
Overall, uh_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,12) frames.
The optional-silence phone sil occupies 18.9% of frames overall 
Limiting the stats to the 95.8% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 15.4% of frames.
Assuming 100 frames per second, the alignments represent 0.8 hours of data, or 0.6 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 4.3% of utterance-internal phones, with duration (median, mean, 95-percentile) = (27,35.0,105)
# Accounting: time=0 threads=1
# Ended (code 0) at Thu Apr 30 12:36:56 IST 2026, elapsed time 0 seconds
